#node1 node2 weight
bomb yemen 8
bomb discus 8
billion sent 8
billion iran 56
congressional iran 8
approval congressional 16
approval charge 8
charge funding 8
ruining trump 8
city ruining 8
democrat obvious 8
obvious people 8
elect people 8
elect every 8
bad person 16
person trump 8
sad stop 8
buying stop 8
bullshit buying 8
bullshit democrat 8
democrat throw 8
place throw 8
finally place 8
finally vote 8
bomber lobby 8
america amp 24
amp saudi 16
beat saudi 8
beat iran 8
evil iran 24
american evil 8
say trump 112
come trump 56
come iran 40
feel iran 33
dictatorship feel 32
make outrage 8
outrage right 8
full right 8
full pardon 16
little wait 8
hot returned 24
bribe hot 24
old say 8
known never 8
known lying 8
lying sack 8
life sack 8
ago year 24
ago agreement 8
agreement iran 16
amp iran 16
amp compared 8
compared today 8
relative today 8
relative want 8
lay want 8
kill well 8
kill protester 8
protester supreme 8
leader supreme 32
leader sake 8
islamic sake 8
january wall 8
31 january 8
state union 16
address union 16
address look 16
love see 8
honor see 8
honor young 8
man young 16
address man 8
address february 8
4th february 8
4th fit 8
fucking moron 8
coarse moron 8
coarse destroying 8
cultural destroying 8
cultural heritage 8
heritage sight 8
sight valuable 8
stability talking 16
brought talking 8
brought unstable 8
matter unstable 8
confederate succeeding 8
confederate electoral 8
college electoral 8
college state 8
american state 8
american democratic 16
democratic state 16
ca state 8
hello hope 16
great hope 8
day great 8
day pop 8
conversation pop 8
conversation everyday 8
everyday fuck 8
fuck man 8
like turn 8
like movie 8
movie one 8
many one 8
hope iran 8
iran level 16
level property 8
office property 8
drive office 8
drive poor 8
house poor 8
ha house 8
loved really 40
australia loved 40
australia combat 32
climate combat 32
